ID,Age,Income,Gender,Married
1,37,59250.36370002081,0,0
2,61,148634.3773298904,1,0
3,29,49591.1580221271,0,0
4,40,101527.76820285845,1,1
5,39,94384.57549984148,0,0
6,51,119582.12331871144,1,0
7,46,98182.19468106814,0,1
8,47,118770.4279525294,1,1
9,42,97347.57558860432,0,1
10,31,54636.560726663076,0,0
11,22,36422.884809965886,1,0
12,53,105075.09424474381,0,1
13,53,98569.25598629582,1,0
14,50,110488.03290635825,0,1
15,23,39879.85717028987,0,1
16,21,35115.68995802666,1,1
17,32,59294.610992018206,0,0
18,50,127364.39480225377,0,0
19,59,144293.97214357517,0,1
20,59,162229.5116070854,0,0
21,25,38822.17231331422,0,0
22,33,59085.625120646386,0,0
23,19,27474.39197442267,1,1
24,50,118408.15214508076,1,1
25,46,102660.98123369228,0,0
26,61,135363.29461626709,0,0
27,59,141390.5728894743,1,0
28,33,59702.967407872224,0,0
29,34,71376.49062024176,1,1
30,61,158929.792346907,0,1
31,20,24122.36993970417,1,0
32,60,168498.3672752423,0,1
33,18,14578.43017057089,1,0
34,44,110717.90169028568,0,1
35,18,17657.921055568222,0,1
36,19,18020.945930719172,1,0
37,43,93702.63161331948,1,0
38,62,161371.40357679434,0,0
39,20,38572.93887197067,0,1
40,26,53499.60190054158,1,1
41,56,126422.07789073612,0,1
42,63,162426.55414700197,1,0
43,41,97417.23406049368,0,0
44,59,156359.3472779824,1,1
45,52,122781.48487374702,1,0
46,56,117608.25248076416,1,0
47,56,120145.41741479206,1,1
48,49,113911.83093422554,1,0
49,36,78702.54269434077,1,0
50,31,49275.60314882174,0,0
51,45,113110.84236088504,1,0
52,52,125541.14170596529,1,0
53,38,80347.34307251763,0,1
54,57,140072.0696486729,1,1
55,40,67742.61665909833,0,1
56,39,87601.92490528434,1,1
57,21,37723.41381746234,0,0
58,45,109000.57373601307,0,0
59,64,153861.69561076586,1,0
60,50,122294.36286146683,1,1
61,60,161408.86392678504,0,0
62,49,106339.39749779078,0,1
63,27,34789.7835401537,0,0
64,29,57077.28510499189,0,1
65,20,28214.050394553036,0,0
66,54,138212.05266397598,1,1
67,28,60611.87407204069,0,1
68,36,64469.77394546092,1,1
69,57,142496.68681788526,0,1
70,35,104867.46032316421,1,0
